<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.27	05:00:00	4090.462	4094.815	4088.555	4094.605	1812	0	240
2026.07.27	05:15:00	4094.555	4094.555	4086.036	4087.051	1790	0	240
2026.07.27	05:30:00	4087.045	4090.412	4085.597	4087.986	3079	0	240
2026.07.27	05:45:00	4088.038	4093.706	4084.350	4092.992	2809	0	240
2026.07.27	06:00:00	4093.129	4096.416	4091.464	4094.151	3301	0	240
2026.07.27	06:15:00	4094.221	4096.410	4091.106	4095.959	2442	0	240
2026.07.27	06:30:00	4095.843	4099.435	4094.200	4098.440	2323	0	240
2026.07.27	06:45:00	4098.383	4099.086	4094.881	4095.860	2056	0	240
2026.07.27	07:00:00	4095.802	4102.045	4095.802	4101.903	3106	0	240
2026.07.27	07:15:00	4101.951	4106.041	4099.858	4103.213	2534	0	240
2026.07.27	07:30:00	4103.205	4103.761	4095.793	4097.303	2235	0	240
2026.07.27	07:45:00	4097.362	4099.087	4088.632	4088.908	2466	0	240
2026.07.27	08:00:00	4088.963	4093.000	4086.899	4091.169	2956	0	240
2026.07.27	08:15:00	4091.121	4092.626	4088.792	4090.742	2368	0	240
2026.07.27	08:30:00	4090.657	4092.936	4087.214	4091.253	2372	0	240
2026.07.27	08:45:00	4091.302	4097.016	4090.739	4095.308	1726	0	240
2026.07.27	09:00:00	4095.294	4098.534	4092.881	4093.835	1912	0	240
2026.07.27	09:15:00	4094.022	4095.924	4091.065	4091.663	1910	0	240
2026.07.27	09:30:00	4091.549	4094.823	4090.277	4093.980	2237	0	240
2026.07.27	09:45:00	4094.318	4100.331	4093.719	4096.219	1995	0	240
2026.07.27	10:00:00	4096.167	4096.509	4086.293	4090.661	2549	0	240
2026.07.27	10:15:00	4090.603	4093.989	4089.111	4092.967	1888	0	240
2026.07.27	10:30:00	4092.970	4102.004	4092.970	4100.119	2082	0	240
2026.07.27	10:45:00	4100.245	4102.285	4098.663	4099.564	1782	0	240
2026.07.27	11:00:00	4099.616	4104.158	4096.968	4101.784	2467	0	240
2026.07.27	11:15:00	4102.141	4103.400	4097.028	4097.090	1874	0	240
2026.07.27	11:30:00	4097.040	4100.099	4094.509	4095.742	2893	0	240
2026.07.27	11:45:00	4095.693	4097.405	4093.616	4093.779	2225	0	240
2026.07.27	12:00:00	4094.040	4097.762	4086.136	4087.762	3597	0	240
2026.07.27	12:15:00	4087.709	4089.139	4081.629	4086.717	3658	0	240
2026.07.27	12:30:00	4086.798	4088.661	4083.112	4086.559	2533	0	240
2026.07.27	12:45:00	4086.508	4089.069	4081.507	4083.818	3546	0	240
2026.07.27	13:00:00	4083.746	4089.031	4080.768	4085.059	5687	0	240
2026.07.27	13:15:00	4085.113	4087.271	4075.715	4076.066	4739	0	240
2026.07.27	13:30:00	4076.146	4089.277	4075.380	4086.592	7723	0	240
2026.07.27	13:45:00	4086.653	4089.613	4070.471	4074.017	6207	0	240
2026.07.27	14:00:00	4074.310	4079.161	4071.170	4076.831	6760	0	240
2026.07.27	14:15:00	4076.880	4078.647	4067.184	4068.112	5535	0	240
2026.07.27	14:30:00	4068.310	4070.761	4065.168	4068.648	6626	0	240
2026.07.27	14:45:00	4068.830	4077.565	4068.830	4075.990	4210	0	240
2026.07.27	15:00:00	4076.040	4076.613	4071.730	4075.839	3865	0	240
2026.07.27	15:15:00	4075.884	4079.420	4074.473	4076.508	3722	0	240
2026.07.27	15:30:00	4076.621	4077.829	4072.520	4076.024	3472	0	240
2026.07.27	15:45:00	4076.093	4079.977	4074.439	4078.608	2878	0	240
2026.07.27	16:00:00	4078.513	4084.848	4077.706	4081.274	2958	0	240
2026.07.27	16:15:00	4081.536	4088.937	4079.740	4084.900	4398	0	240
2026.07.27	16:30:00	4085.007	4093.855	4084.897	4088.408	3374	0	240
2026.07.27	16:45:00	4088.460	4088.666	4080.801	4082.254	2321	0	240
2026.07.27	17:00:00	4082.457	4082.457	4070.623	4073.358	3363	0	240
2026.07.27	17:15:00	4073.554	4076.897	4072.288	4074.783	2773	0	240
